longitude,latitude,severity_label
-2.88249,51.94295,Slight
-2.51201,52.70986,Slight
-2.14346,53.04005,Slight
-2.15632,53.03662,Serious
-2.31006,51.40255,Slight
-2.97394,51.3488,Slight
-2.98221,51.33583,Serious
-2.40485,51.44969,Slight
-4.11788,50.37856,Slight
-4.04665,50.38405,Slight
-1.80879,51.59359,Slight
-1.83178,51.58061,Slight
-1.65459,51.51972,Slight
-1.79408,51.601,Slight
-0.26287,52.59877,Slight
-0.42588,51.88284,Slight
0.26902,51.516,Slight
0.24181,51.50402,Slight
0.54331,51.36953,Slight
-1.03058,51.42332,Slight
-0.9616,51.44412,Serious
-0.96697,51.45043,Slight
-0.98258,51.45123,Slight
-0.98233,51.45497,Slight
-0.64798,51.51296,Slight
-0.7594,52.09454,Slight
-1.3509,50.89914,Slight
-1.31222,50.7477,Serious
-1.28756,50.58166,Slight
-1.50681,54.8462,Serious
-2.71918,52.73264,Slight
-2.765,52.71064,Slight
-0.2878,52.20734,Slight
-1.63051,55.19647,Slight
-0.73619,52.45215,Slight
-0.63579,52.29599,Slight
-0.72975,52.42438,Serious
-0.77068,52.41315,Serious
-0.72624,52.40246,Serious
-3.36774,54.67763,Serious
-3.54242,54.58881,Slight
-2.40627,53.5555,Slight
-2.11064,53.52389,Slight
-2.36494,53.52791,Slight
-2.13631,53.4038,Slight
-2.08312,53.45437,Slight
-2.04753,53.48062,Slight
-2.52575,53.49595,Slight
-2.97956,53.45583,Slight
-2.98593,53.65938,Slight
-1.40024,53.53337,Slight
-1.41313,53.57339,Serious
-1.42825,53.57263,Slight
-1.36162,53.41561,Slight
-1.34738,53.40499,Slight
-1.20696,53.43136,Serious
-1.47668,55.00441,Serious
-1.42061,54.97659,Slight
-1.43973,54.97146,Slight
-1.47749,54.88197,Serious
-1.49904,52.41353,Serious
-1.80563,52.43902,Slight
-2.11309,52.5692,Slight
-2.09798,52.54797,Slight
-2.07357,52.55682,Slight
-1.77179,54.96601,Serious
-1.55525,54.95047,Serious
0.12858,51.54982,Slight
0.15311,51.56089,Slight
0.13568,51.47157,Slight
0.1383,51.44957,Slight
0.13343,51.48168,Serious
-0.33065,51.57796,Slight
-0.2572,51.4047,Slight
-0.16404,51.40545,Slight
-0.32271,51.45896,Slight
-0.21069,51.38216,Slight
-0.00616,51.59144,Serious
-0.01645,51.60091,Slight
-0.04011,51.56838,Slight
-0.01541,51.57238,Slight
-4.49511,55.60716,Serious
-4.67003,57.96922,Serious
-5.33419,57.6232,Serious
-4.75725,55.63579,Slight
-4.48427,55.4994,Slight
-3.81713,55.57326,Serious
-3.91841,56.07852,Slight
-2.09739,57.14685,Serious
-2.21232,56.96178,Serious
-2.00396,57.55764,Slight
-3.31579,55.9231,Slight
-4.3175,55.92756,Slight
-3.25224,56.12491,Slight
-3.41078,56.06651,Serious
-3.57613,56.35015,Serious
-3.90143,55.77771,Slight
-3.31186,53.26464,Slight
-3.05659,52.93202,Slight
-4.32995,52.20911,Slight
-4.94448,51.62542,Serious
-4.32109,51.85662,Serious
-4.04212,51.7832,Slight
-3.0664,51.8174,Serious
-3.54309,52.4527,Slight
-1.18121,54.55171,Serious
-2.4934,53.74328,Serious
-2.46871,53.75619,Slight
-2.44581,53.74282,Slight
-3.03048,53.8145,Slight
-0.04763,53.55684,Serious
-0.66837,53.5901,Serious
-1.53088,52.90666,Slight
-1.47449,52.91903,Slight
-1.45608,52.91553,Slight
-1.14437,52.64851,Slight
-1.15304,52.62421,Slight
-2.51069,52.08977,Serious
-2.41169,52.01642,Slight
-2.21465,53.04091,Slight
-2.19231,53.04081,Slight
-2.17374,53.0872,Slight
-2.63118,51.43922,Slight
-2.56658,51.54003,Slight
-2.56987,51.53057,Slight
-4.17265,50.41534,Slight
-3.58794,50.42655,Slight
-1.80156,51.56814,Slight
-1.80824,51.54232,Slight
-0.26248,52.54325,Slight
-0.24664,52.59026,Serious
0.7711,51.5354,Serious
0.53719,51.40692,Serious
0.48115,51.40076,Slight
0.53845,51.37373,Slight
-0.74608,51.40067,Slight
-1.31537,51.38822,Slight
-1.31095,51.41386,Slight
-0.99294,51.45615,Slight
-0.96516,51.44321,Slight
-0.72575,51.52662,Slight
-0.76701,51.56469,Serious
-0.90716,51.4733,Slight
-0.69567,52.01269,Slight
-1.38425,50.92971,Serious
-1.41921,50.93422,Serious
-1.68094,54.64339,Slight
-2.80855,52.72344,Serious
-2.72794,52.73772,Slight
-2.01767,54.97401,Slight
-0.69861,52.48502,Slight
-0.70565,52.36013,Serious
-2.638,54.6512,Slight
-2.56664,54.62197,Slight
-2.12476,53.5233,Slight
-2.09269,53.56403,Serious
-2.38437,53.49963,Slight
-2.2817,53.4789,Serious
-2.38665,53.48417,Serious
-2.19623,53.42062,Serious
-2.12064,53.42159,Serious
-2.34894,53.41773,Serious
-2.35217,53.40087,Slight
-2.98908,53.64813,Slight
-3.00667,53.45971,Serious
-1.70912,53.52779,Serious
-1.31076,53.54522,Slight
-1.34827,53.44303,Slight
-1.29863,53.45172,Serious
-1.58021,54.99976,Serious
-1.65299,54.97547,Slight
-1.45516,55.03647,Slight
-1.42948,54.97384,Slight
-1.36393,54.88244,Slight
-1.44688,54.86399,Slight
-1.51502,54.91873,Slight
-1.51686,54.88114,Serious
-1.36886,54.89435,Slight
-1.5587,52.40699,Slight
-1.4969,52.44473,Slight
-2.07912,52.49864,Serious
-2.08715,52.49257,Serious
-2.07191,52.51332,Slight
-2.15245,52.45054,Slight
-1.77866,52.42361,Slight
-1.72166,52.38637,Slight
-1.97207,52.62548,Slight
-2.00586,52.57762,Slight
-1.9373,52.63082,Serious
-2.07745,52.57945,Slight
-1.78346,53.70214,Slight
-1.60508,54.92064,Serious
0.09811,51.52727,Serious
0.09654,51.53075,Slight
0.14482,51.46652,Serious
-0.3826,51.58869,Serious
-0.36245,51.55749,Slight
-0.2004,51.42703,Slight
-0.24493,51.39939,Slight
-0.25966,51.4651,Slight
-0.3756,51.42211,Serious
-0.35098,51.43575,Serious
-0.15985,51.37079,Slight
-0.14579,51.34903,Slight
-0.13268,51.35288,Slight
0.01079,51.59478,Slight
-0.02809,51.5731,Slight
0.01093,51.5683,Slight
-3.20926,55.03822,Slight
-3.80802,56.02483,Slight
-3.87725,55.63227,Serious
-2.09321,57.13001,Serious
-2.78191,57.06834,Serious
-4.92125,56.24707,Serious
-3.18973,55.95329,Slight
-4.40655,55.81472,Serious
-3.15576,56.13159,Slight
-2.76413,56.21356,Slight
-3.03056,56.17943,Serious
-3.20035,56.13221,Slight
-3.98232,55.86874,Slight
-4.04628,55.85668,Slight
-3.04171,53.01436,Slight
-4.63907,51.98944,Serious
-3.94137,51.6301,Serious
-3.94063,51.62299,Slight
-3.24149,51.41157,Slight
-3.26242,51.41294,Slight
-3.27768,51.40186,Slight
-3.24352,51.48169,Slight
-3.34769,51.66436,Slight
-3.17371,51.78922,Slight
-3.21853,51.79896,Slight
-2.95384,51.57377,Slight
-2.98287,51.59876,Slight
-3.4977,52.26057,Slight
-3.45146,52.6906,Slight
-3.33149,52.36107,Fatal
-3.46046,52.24618,Fatal
-1.2612,54.64019,Serious
-1.18314,54.5787,Slight
-0.98238,54.5414,Slight
-1.481,54.59518,Slight
-1.55215,54.52964,Slight
-2.62058,53.39372,Slight
-2.57072,53.37831,Slight
-2.61452,53.43021,Slight
-2.5205,53.45367,Slight
-2.44611,53.72514,Slight
-2.47927,53.71587,Serious
-2.4885,53.75857,Slight
-3.03561,53.81465,Slight
-0.02495,53.5558,Slight
-1.14033,53.93325,Slight
-1.48442,52.92366,Slight
-1.45624,52.88513,Serious
-1.14315,52.65061,Slight
-2.51705,52.7038,Slight
-2.21105,53.00612,Slight
-2.19097,53.02498,Slight
-2.38657,51.3846,Serious
-2.81952,51.33366,Slight
-2.95473,51.32952,Serious
-3.54251,50.48385,Slight
-3.53683,50.46793,Serious
-1.80428,51.55475,Slight
-0.26673,52.5913,Slight
-0.2449,52.5722,Serious
-0.26203,52.61845,Slight
-0.26119,52.58008,Serious
-0.23269,52.58077,Slight
0.67728,51.5506,Slight
0.70762,51.54558,Serious
0.7288,51.53099,Slight
0.66716,51.56857,Slight
0.49747,51.3945,Slight
-0.76328,51.98992,Slight
-0.72163,51.99062,Slight
-0.7347,51.99499,Slight
-1.05766,50.78514,Serious
-1.07061,50.81638,Slight
-1.0826,50.81133,Serious
-1.42915,50.92216,Slight
-1.34394,50.91925,Slight
-1.39069,50.93097,Serious
-1.39592,50.93945,Slight
-1.41303,50.90803,Slight
-1.26389,50.72297,Slight
-1.48713,50.70643,Serious
-1.21354,50.73331,Slight
-1.16383,50.73098,Slight
-1.57195,54.77145,Slight
-1.641,54.85643,Serious
-2.75214,52.71351,Slight
-2.39895,52.69487,Serious
-0.45673,52.12404,Slight
-0.47467,52.10746,Slight
-0.51245,52.1937,Slight
-0.47524,52.13525,Slight
-2.36232,55.31473,Serious
-2.02657,55.78008,Slight
-1.58815,55.08244,Slight
-0.59885,52.29276,Slight
-0.67359,52.37784,Serious
-0.76014,52.41124,Slight
-2.46564,53.56689,Slight
-2.28485,53.53401,Serious
-2.12277,53.53955,Slight
-2.19943,53.54966,Slight
-2.16343,53.41745,Slight
-2.3675,53.44464,Serious
-2.32642,53.46795,Slight
-2.67206,53.54958,Slight
-2.78843,53.41982,Slight
-2.69875,53.45156,Slight
-2.69723,53.4323,Slight
-1.30562,53.54916,Serious
-1.44518,53.50668,Slight
-1.37855,53.51513,Slight
-1.54979,53.60342,Slight
-1.25031,53.42394,Serious
-1.20074,53.42324,Slight
-1.26454,53.42517,Slight
-1.36517,53.47808,Slight
-1.28144,53.4217,Slight
-1.69504,54.99222,Serious
-1.66193,54.98926,Slight
-1.53596,54.9906,Slight
-1.43395,54.91805,Slight
-1.52958,52.41313,Slight
-1.56738,52.38497,Serious
-2.09571,52.50842,Slight
-1.74133,52.48195,Serious
-1.78892,52.41354,Slight
-1.9953,52.62337,Slight
-1.97639,52.58416,Serious
-2.11531,52.60558,Slight
-2.05117,52.57231,Slight
-2.16716,52.5634,Slight
-1.80355,53.67992,Slight
-1.68908,54.95342,Slight
-0.10802,51.51342,Serious
0.09682,51.54704,Slight
0.112,51.53708,Slight
0.14482,51.56769,Slight
0.10253,51.53568,Slight
0.11229,51.53658,Slight
0.19587,51.45616,Slight
0.13602,51.45735,Slight
-0.34009,51.58609,Slight
-0.37957,51.58556,Slight
-0.35557,51.60999,Slight
-0.30586,51.37552,Slight
-0.31632,51.389,Slight
-0.28522,51.41799,Slight
-0.21263,51.42597,Slight
-0.31203,51.41105,Slight
-0.37792,51.44919,Slight
-0.2677,51.43446,Slight
-0.3119,51.41362,Slight
-0.15388,51.36741,Slight
-0.21442,51.36227,Slight
-3.60076,55.06494,Serious
-2.81039,55.95396,Slight
-4.49717,57.27695,Slight
-4.15196,57.47096,Slight
-5.65016,57.28826,Slight
-3.3199,57.65664,Serious
-3.2086,55.76821,Slight
-4.61748,55.4863,Slight
-4.04975,55.75731,Serious
-4.19721,56.01131,Slight
-5.24715,56.26861,Serious
-3.22943,55.97199,Slight
-3.16106,55.90454,Serious
-3.31438,55.9237,Slight
-3.14115,55.91068,Serious
-3.38877,55.90171,Slight
-3.13811,55.95605,Slight
-3.22291,55.95385,Slight
-3.21519,55.94698,Serious
-3.29135,55.94293,Fatal
-3.51096,55.88052,Slight
-2.92191,56.4875,Slight
-3.0488,56.19296,Slight
-3.42799,56.0298,Slight
-3.37858,56.2967,Slight
-3.91943,55.7735,Slight
-3.20324,53.02107,Serious
-4.27271,52.2356,Serious
-4.72296,51.65853,Serious
-4.30798,51.85962,Slight
-3.65608,51.60939,Slight
-3.19451,51.48051,Slight
-3.11344,51.5306,Slight
-3.29153,51.57518,Serious
-3.07331,51.73246,Slight
-2.87766,51.75757,Slight
-3.6962,52.53349,Slight
-1.25441,54.64277,Serious
-1.25847,54.54564,Slight
-1.56347,54.53367,Slight
-2.7351,53.39401,Slight
-3.03244,53.81759,Serious
-3.05406,53.80674,Serious
-3.03962,53.81042,Slight
-0.6542,53.57886,Slight
-1.02547,53.95514,Slight
-1.45149,52.92247,Slight
-1.44917,52.90569,Slight
-1.50562,52.89169,Slight
-1.10946,52.61733,Slight
-1.11705,52.5996,Slight
-2.84371,52.37759,Slight
-2.73362,52.06756,Slight
-2.1573,52.99358,Slight
-2.97381,51.35027,Slight
-2.57929,51.50155,Slight
-4.08585,50.35567,Slight
-4.15213,50.41268,Slight
-1.78879,51.56999,Slight
-0.25559,52.59298,Slight
-0.28795,52.59444,Serious
0.78292,51.53106,Slight
0.58286,51.37086,Slight
0.59318,51.3712,Slight
0.49854,51.3938,Slight
-0.78869,51.37975,Slight
-1.45911,51.3722,Slight
-0.95819,51.45174,Slight
-0.62404,51.51369,Slight
-0.57142,51.50399,Slight
-0.84867,51.46027,Slight
-1.09067,50.7977,Slight
-1.06936,50.81143,Slight
-1.09759,50.79194,Slight
-1.07935,50.79528,Slight
-1.92335,54.59149,Serious
-1.71077,54.71214,Fatal
-1.36792,54.84506,Slight
-2.65967,52.93681,Slight
-2.30377,52.62048,Serious
-0.4558,52.12985,Slight
-0.47001,52.12787,Slight
-1.57969,55.16461,Slight
-1.56495,55.10459,Slight
-0.6209,52.33082,Slight
-0.56752,52.57481,Slight
-3.58519,54.54948,Slight
-2.88641,54.57942,Slight
-3.22022,54.12084,Slight
-2.45139,53.57116,Slight
-2.35137,53.51671,Serious
-2.12634,53.4248,Slight
-2.14032,53.41497,Slight
-2.07936,53.45679,Slight
-2.30299,53.46697,Serious
-2.29016,53.37276,Slight
-2.48294,53.52757,Slight
-2.99049,53.46408,Slight
-3.01997,53.49105,Slight
-3.0126,53.49528,Slight
-2.97333,53.32863,Serious
-1.64195,54.98935,Slight
-1.41447,54.97889,Slight
-1.38927,54.88585,Slight
-1.40778,54.88703,Slight
-1.52682,54.89941,Slight
-1.44108,54.87217,Slight
-1.44496,52.40387,Slight
-1.52526,52.43549,Slight
-1.50473,52.43237,Slight
-1.481,52.40618,Slight
-2.16572,52.45993,Serious
-2.12113,52.48333,Serious
-2.0791,52.49815,Slight
-2.01142,52.57102,Slight
-2.10526,52.60936,Slight
-2.1139,52.57338,Serious
-2.12863,52.58219,Slight
-1.86042,53.73037,Slight
-1.96619,53.73615,Slight
-1.89134,53.74821,Slight
-1.62176,54.93678,Slight
0.07859,51.54358,Slight
0.09301,51.52994,Slight
-0.33014,51.59401,Slight
-0.26269,51.39998,Serious
-0.23581,51.40523,Slight
-0.35187,51.44228,Slight
-0.33929,51.42614,Slight
-0.22278,51.37552,Slight
-0.1861,51.35891,Slight
-0.22242,51.37616,Slight
-0.02777,51.56248,Slight
-0.02888,51.59964,Slight
-6.09294,57.28851,Serious
-4.19464,57.46653,Serious
-3.08671,58.59219,Serious
-4.14507,55.76736,Slight
-4.12028,55.82008,Serious
-5.328,56.07302,Serious
-3.16637,55.93338,Serious
-3.20883,55.93625,Serious
-3.18293,55.94923,Serious
-3.21085,55.94024,Serious
-4.41322,55.84704,Slight
-3.39813,56.04714,Slight
-2.91368,56.22566,Slight
-3.47649,56.3979,Slight
-3.91646,55.83896,Slight
-3.83197,53.33668,Slight
-3.45775,52.92219,Serious
-3.99507,52.29981,Slight
-4.82873,51.69323,Serious
-4.32616,51.85569,Slight
-4.50512,51.88406,Serious
-4.2048,51.68648,Slight
-3.13126,51.52871,Slight
-3.45295,51.7176,Slight
-2.83959,51.76901,Serious
-3.02403,51.55912,Slight
-3.0099,51.5741,Slight
-3.05839,52.69713,Slight
-3.65678,52.09366,Slight
-1.21291,54.53639,Slight
-1.55096,54.52999,Slight
-2.56263,53.37862,Serious
-2.50842,53.63826,Serious
-3.04035,53.85821,Serious
-0.09897,53.56985,Slight
-0.10945,53.5418,Slight
-1.16282,53.97514,Slight
-1.44269,52.94481,Serious
-1.42103,52.89088,Slight
-1.47805,52.90286,Serious
-1.1517,52.66684,Serious
-2.71263,52.07221,Slight
-2.84357,52.27975,Serious
-2.70356,52.06227,Slight
-2.44441,52.15154,Fatal
-2.44472,52.70676,Slight
-2.17693,53.00236,Slight
-2.38863,51.39175,Slight
-2.35256,51.39188,Slight
-2.56375,51.35114,Slight
-2.57933,51.50155,Slight
-2.55479,51.50959,Slight
-4.17775,50.40993,Slight
-1.76525,51.59441,Slight
-0.27626,52.5575,Slight
-0.4016,51.8741,Slight
0.67066,51.57109,Slight
0.64435,51.57047,Slight
0.48693,51.39339,Slight
0.58446,51.36812,Slight
0.7148,51.45491,Slight
-1.32423,51.40144,Slight
-1.14001,51.45592,Slight
-0.95968,51.45416,Slight
-1.06513,50.7878,Slight
-1.07688,50.79748,Slight
-1.38781,50.91216,Slight
-1.39312,50.92544,Slight
-1.69814,54.71286,Serious
-1.7859,54.53151,Serious
-1.46511,54.65012,Slight
-2.71355,52.98417,Slight
-2.73744,52.72536,Slight
-2.48364,52.90395,Slight
-2.86758,52.71376,Slight
-2.57816,52.44859,Fatal
-0.46078,52.13043,Slight
-0.48273,52.11034,Slight
-1.60671,55.13377,Serious
-1.60704,55.17889,Fatal
-2.48579,54.96652,Slight
-0.62892,52.49979,Slight
-0.64882,52.33986,Slight
-0.65161,52.342,Slight
-0.68871,52.41028,Slight
-2.87763,54.86019,Slight
-3.01737,54.63306,Serious
-2.22661,54.52369,Serious
-2.92597,54.39568,Slight
-2.43285,53.59817,Slight
-2.43135,53.59371,Slight
-2.33998,53.59576,Slight
-2.07692,53.52516,Slight
-2.10039,53.60586,Slight
-2.13328,53.62267,Slight
-2.37873,53.4903,Slight
-2.11508,53.45863,Slight
-2.09786,53.48779,Slight
-2.62276,53.54084,Slight
-2.84499,53.4211,Slight
-2.6826,53.45108,Slight
-2.99505,53.65405,Slight
-2.97962,53.45618,Slight
-2.95504,53.47514,Slight
-3.02342,53.33797,Slight
-2.99199,53.35431,Slight
-3.00224,53.36686,Slight
-3.1576,53.40199,Slight
-1.4661,53.59867,Slight
-1.34508,53.4498,Slight
-1.25946,53.31755,Serious
-1.21071,53.36867,Serious
-1.6577,54.99285,Slight
-1.69455,54.98497,Slight
-1.61596,54.97582,Slight
-1.43691,54.9764,Slight
-1.41864,54.88811,Slight
-1.55107,52.41837,Slight
-2.1506,52.4646,Slight
-2.01718,52.44685,Slight
-1.73427,52.48599,Slight
-2.00325,52.61279,Slight
-1.97994,52.58707,Slight
-1.93043,52.64535,Slight
-2.16583,52.56654,Slight
-2.09857,52.60771,Slight
-1.78275,53.7049,Slight
-1.85919,53.72204,Slight
-1.74417,53.70893,Serious
-1.81064,53.72578,Serious
-0.10437,51.51418,Serious
0.152,51.561,Slight
0.14107,51.57977,Slight
0.10224,51.45049,Slight
-0.33284,51.57728,Slight
-0.33122,51.58518,Slight
-0.28245,51.38061,Slight
-0.31087,51.39206,Slight
-0.30001,51.3729,Slight
-0.24816,51.41429,Slight
-0.01422,51.60044,Slight
-0.01787,51.60995,Slight
-0.16111,51.42075,Slight
-3.86557,54.92255,Serious
-3.01204,55.85263,Slight
-4.02594,55.78344,Slight
-3.32082,55.93457,Serious
-3.31753,55.96513,Serious
-2.61801,56.56108,Serious
-2.82224,56.64938,Slight
-3.39697,56.34675,Serious
-3.45566,53.29631,Slight
-3.0432,53.01025,Slight
-3.94371,52.32689,Serious
-3.85266,52.01721,Slight
-3.90587,51.80163,Serious
-3.93038,51.66851,Serious
-3.31569,51.58543,Slight
-3.34434,51.60067,Slight
-3.26656,51.59559,Serious
-2.98145,51.58626,Slight
-3.80306,51.78552,Slight
-3.71132,51.79968,Serious
-3.2349,52.65031,Slight
-1.23423,54.57782,Slight
-1.22583,54.57209,Slight
-1.33895,54.58259,Slight
-1.5573,54.53784,Serious
-2.65529,53.4154,Serious
-2.48433,53.75767,Slight
-2.46911,53.69587,Serious
-3.04075,53.85435,Serious
